club,location,link
Alabama Mineral & Lapidary Society,Birmingham,http://www.lapidaryclub.com/
Dothan Gem & Mineral Club,Dothan,http://www.wiregrassrockhounds.com/
Huntsville Gem and Mineral Society,Huntsville,http://huntsvillegms.org/
Mobile Rock & Gem Society,Mobile,http://www.mobilerockandgem.com/
Montgomery Gem & Mineral Society,Montgomery,http://montgomerygemandmineralsociety.com/mgms/
Chugach Gem & Mineral Society,Anchorage,http://www.chugachgemandmineralsociety.com/
Mat-Su Rock and Mineral Club,Palmer,http://matsurockclub.com/
Apache Junction Rock and Gem Club,Apache Junction,http://www.ajrockclub.com/
Black Canyon City Rock Club,Black Canyon City,http://www.bccrockclub.mysite.com/
Daisy Mountain Rock & Mineral Club,Anthem,http://www.dmrmc.com/
Gila County Gem & Mineral Society,Miami,http://gilagem.org/
Huachuca Mineral and Gem Club,Sierra Vista,http://www.huachucamineralandgemclub.info/
Lake Havasu Gem & Mineral Society,Lake Havasu City,http://www.lakehavasugms.org/
Mineralogical Society of Arizona,Scottsdale,http://www.msaaz.org/
Mingus Gem & Mineral Club,Cottonwood,http://www.mingusclub.org/
Mohave County Gemstoners,Kingman,http://www.gemstoners.org/
Old Pueblo Lapidary Club,Tucson,http://www.lapidaryclub.org/
Prescott Gem & Mineral Club,Prescott Valley,http://www.prescottgemmineral.org/
Quartzsite Roadrunners Gem & Mineral Club,Quartzsite,http://www.qrgmc.org/
Rockhounds West,Phoenix,http://rockhounds.scwclubs.com/
Sedona Gem & Mineral Club,Sedona,http://www.sedonagemandmineral.org/
Silvery Colorado River Rock Club,Bullhead City,http://scrrc.blogspot.com/
Sunsites Gem and Mineral Club,Pearce,https://sites.google.com/site/cochisecountyrock/
Tucson Gem and Mineral Society,Tucson,http://www.tgms.org/
Verde River Rockhounds,Cottonwood,http://www.verderiverrockhounds.com/
West Valley Rock & Mineral Club,Buckeye,http://www.westvalleyrockandmineralclub.com/
White Mountain Gem & Mineral Club,Show Low,http://whitemountain-azrockclub.org/
Wickenburg Gem and Mineral Society,Wickenburg,http://www.wickenburggms.org/
"Central Arkansas Gem, Mineral and Geology Society",Little Rock,http://www.centralarrockhound.org/
Northwest Arkansas Gem & Mineral Society,Siloam Springs,http://www.nwarockhounds.org/
"Ozark Earth Science Gem, Mineral & Fossil Club",Mountain Home,https://www.ozarkearthscience.com/
Amador County Gem & Mineral Society,Sutter Creek,http://www.amadorgemandmineral.org/
American Opal Society,Anaheim,http://www.opalsociety.org/
Antelope Valley Gem and Mineral Club,Lancaster,http://avgem.weebly.com/
Antioch Lapidary Club,Antioch,http://www.antiochlapidaryclub.com/
Borrego Rock and Gem Club,Borrego Springs,http://www.abdnha.org/bragclub.html
Calaveras Gem & Mineral Society,Angels Camp,http://www.calaverasgemandmineral.org/
Carmel Valley Gem and Mineral Society,Pacific Grove,http://www.cvgms.rocks/
Central Coast Treasure Hunters Association,San Luis Obispo,http://www.cctha.org/
Coalinga Rockhound Society,Coalinga,https://sites.google.com/site/coalingarockhounds/
Conejo Gem & Mineral Club,Thousand Oaks,http://www.cgamc.org/
Contra Costa Mineral & Gem Society,Concord,http://www.ccmgs.org/
The Culver City Rock and Mineral Club,Culver City,http://culvercityrocks.org/
Del Air Rockhounds Club,Northridge,http://delairrockhounds.blogspot.com/
Delvers Gem & Mineral Society,Bellflower,https://delversgemclub.wordpress.com/
El Cajon Valley Gem & Mineral Society,El Cajon,http://www.ecvgms.org/
El Dorado County Mineral and Gem Society,Placerville,http://www.eldoradomineralandgem.org/
Faceters Guild of Southern California,Buena Park,http://www.fgosc.com/
"Fallbrook Gem and Mineral Society, Inc.",Fallbrook,http://www.fgms.org/FGMS/Home.html
Feather River Lapidary & Mineral Society,Oroville,http://www.featherriverrocks.org/
First Class Miners,Yucca Valley,http://www.firstclassminers.org/
"Fossils for Fun Society, Inc.",North Highlands,https://www.facebook.com/The-Fossils-for-Fun-Society-994879667246272/
Fresno Gem & Mineral Society,Fresno,http://fgms.us/
Gold Country Treasure Seekers,Placerville,https://goldcountrytreasureseekers.shutterfly.com/
Hi-Desert Rockhounds of Morongo Valley,Yucca Valley,http://www.hi-desertrockhounds.org/
Indian Wells Valley Gem & Mineral Society,Ridgecrest,http://indianwells.weebly.com/
Kern County Mineral Society,Bakersfield,http://kerncountymineralsociety.org/
Lemoore Gem and Mineral Club,Lemoore,https://www.facebook.com/Lemoore-Gem-and-Mineral-Club-706220872829687/
Livermore Valley Lithophiles,Livermore,http://www.lithophiles.com/
Line Pine Gem & Mieral Society,Lone Pine,http://lpgms.org/
Mariposa Gem & Mineral Club,Mariposa,http://mariposagmc.org/
Mineral & Gem Society of Castro Valley,Hayward,http://www.mgscv.org/
Mineralogical Society of Southern California,Pasadena,http://www.mineralsocal.org/
Mojave Desert Gem & Mineral Society,Barstow,http://www.mdgms.net/
Monrovia Rock Hounds Inc.,Monrovia,http://www.moroks.com/
Mother Lode Mineral Society,Modesto,http://www.motherlodemineralsociety.com/
Needles Gem & Mineral Club,Mohave Valley,http://needlesgemmineralclub.blogspot.com/
Nevada County Gem & Mineral Society,Grass Valley,http://www.ncgms.org/
Northern California Geological Society,Orinda,http://www.ncgeolsoc.org/
North Orange County Gem & Mineral Society,La Habra,http://www.nocgms.com/
Orange Belt Mineralogical Society,San Bernardino,http://obmsrocks.yolasite.com/
Orcutt Mineral Society,Santa Maria,http://www.omsinc.org/
Oxnard Gem & Mineral Society,Oxnard,http://oxnardgem.com/home/
Palmdale Gem & Mineral Club,Palmdale,https://www.facebook.com/palmdalegemandmineralclub/
Palomar Gem & Mineral Club,Escondido,http://palomargem.org/
Palos Verdes Gem & Mineral Society,Rolling Hills Estates,http://www.palos-verdes-gem-and-mineral-society.org/
Paradise Gem & Mineral Club,Paradise,http://www.paradisegem.org/
Pasadena Lapidary Society,Pasadena,http://www.pasadenalapidarysociety.org/
"Peninsula Gem & Geology Society, Inc.",Los Altos,http://pggs.org/
Roseville Rock Rollers,Roseville,http://www.rockrollers.com/
Route 66 Gold Miners Inc,Brea,http://www.route66goldminers.org/
Sacramento Mineral Society,Sacramento,http://www.sacramentomineralsociety.org/
Sacramento Valley Detecting Buffs,North Highlands,http://www.sacramentovalleydetectingbuffs.com/
Salinas Valley Rock and Gem Club,Salinas,https://salinasrockandgem.pagecloud.com/
San Diego Gem and Mineral Society,San Diego,http://www.sdmg.org/
San Diego Lapidary Society,San Diego,http://sandiegolapidarysociety.org/
"San Francisco Gem and Mineral Society, Inc.",San Francisco,http://www.sfgms.org/
San Joaquin Valley Lapidary Society,Bakersfield,http://sjvls.blogspot.com/
San Luis Obispo Gem & Mineral Club,San Luis Obispo,http://www.slogem.org/
"Santa Ana Rock & Mineral Club, Inc.",Santa Ana,http://www.sarmclub.org/
Santa Clara Valley Gem & Mineral Society,San Jose,http://www.scvgms.org/
Santa Cruz Mineral and Gem Society,Santa Cruz,https://www.facebook.com/scmgs/
Santa Lucia Rockhounds,Paso Robles,http://www.slrockhounds.org/
"Santa Rosa Mineral And Gem Society, Inc.",Santa Rosa,http://www.srmgs.org/
Searchers Gem and Mineral Society,Anaheim,https://www.searchersrocks.org/
"Searles Lake Gem and Mineral Society, Inc.",Trona,http://www1.iwvisp.com/tronagemclub/
Sequoia Gem and Mineral Society,Redwood City,http://www.sequoiagemandmineralsociety.org/
Shadow Mountain Gem & Mineral Society,Palm Springs,http://www.shadowmountaingemmineral.org/
Shasta Gem & Mineral Society,Redding,http://www.shastagemandmineral.com/
Sierra Pelona Rock Club,Newhall,http://www.sierrapelona.com/
South Bay Lapidary & Mineral Society,Torrance,https://southbaylapidaryandmineralsociety.com/
South Orange County Gem & Mineral Society,San Clemente,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/
Southern California Paleontological Society,Los Angeles,http://socalpaleo.com/
Stockton Lapidary & Mineral Club,Stockton,http://www.stocktonlapidary.com/
Sutter Buttes Gem & Mineral Society,Marysville,https://sutterbuttesgemmin.org/
Tehachapi Valley Gem & Mineral Society,Tehachapi,http://www.tvgms.org/
Tule Gem and Mineral Society,Farmersville,http://www.tulegem.com/
Vallejo Gem & Mineral Society,Vallejo,http://www.vjgems.org/
"Valley Prospectors, Inc.",San Bernardino,https://www.valleyprospectors.com/
"Ventura Gem & Mineral Society, Inc",Ventura,http://vgms.org/
Victor Valley Gem and Mineral Club,Victorville,http://www.vvgmc.org/
Vista Gem & Mineral Society,Vista,http://www.vistarocks.org/
West Coast Prospectors & Treasure Hunters Association,Garden Grove,http://westcoasters.org/
West End Prospectors Corporation,Norco,http://www.wepcgold.com
"Whittier Gem and Mineral Society, Inc.",Whittier,http://wgmsca.com/index.html
"Woodland Hills Rock Chippers, Inc.",San Fernando Valley,http://www.rockchippers.org/
Yucaipa Valley Gem & Mineral Society,Yucaipa,http://www.yvgms.org/wiki/
Canon City Geology Club,Canon City,http://www.canoncitygeologyclub.com/
Colorado Gold Camp,Frisco,http://coloradogoldcamp.com/
Colorado Mineral Society,Lakewood,http://www.coloradomineralsociety.org/
Colorado Prospector,Alamosa,http://www.coloradoprospector.com/
Colorado Springs Mineral Society,Colorado Springs,http://www.csms1936.com/
Columbine Gem and Mineral Society,Salida,http://rockaholics.org/
Denver Gem and Mineral Guild,Denver,http://denvergem.org/index.html
Flatirons Mineral Club,Boulder,http://flatironsmineralclub.org/
Fort Collins Rockhounds,Fort Collins,http://www.fortcollinsrockhounds.org/
Four Corners Gem & Mineral Club,Durango,http://www.durangorocks.org/
Friends of Mineralogy - Colorado Chapter ,Denver,http://friendsofmineralogycolorado.org/
Grand Junction Gem & Mineral Club,Grand Junction,http://www.grandjunctionrockclub.org/
Lake George Gem & Mineral club,Lake George,http://www.lggmclub.org/
"Littleton Gem and Mineral Club, Inc.",Littleton,http://littletongemandmineralclub.com/
Mile High Rock and Mineral Society,Arvada,http://www.milehirams.com/
North Jeffco Gem & Mineral Club,Arvada,http://www.peaktopeak.com/njeffco/index.php
Pueblo Rockhounds,Pueblo,http://www.pueblorockhounds.org/
Western Interior Paleontological Society,Denver,http://www.westernpaleo.org/
Bristol Gem & Mineral Club,Bristol,http://bristolgem.org/
Danbury Mineralogical Society,Danbury,http://danburymineralogicalsociety.weebly.com/
Lapidary and Mineral Society of Central Connecticut,Meriden,http://www.lmscc.org/
New Haven Mineral Club,New Haven,http://www.newhavenmineralclub.org/
Stamford Mineralogical Society,Stamford,http://www.stamfordmineralsociety.org/
"Delaware Mineralogical Society, Inc.",Wilmington,http://www.delminsociety.net/
Canaveral Mineral & Gem Society,Melbourne,http://www.canaveral-mgs.com/
Central Brevard Rock and Gem Club,Merritt Island,http://www.centralbrevardgems.org/
Central Florida Mineral and Gem Society,Winter Park,http://www.cfmgs.org/
Florida Fossil Hunters,Orlando,http://floridafossilhunters.com/
Florida Gold Coast Gem & Mineral Society,Hollywood,http://fgcgms.com/main/
