Author,Rank,Rating,Score,Votes,Title,Series,Series Number
Margaret Atwood,1,4.09," 30,733",314,The Handmaid's Tale,,
Suzanne Collins,2,4.33," 28,553",292,The Hunger Games ,The Hunger Games,1
Mary Wollstonecraft Shelley,3,3.78," 21,909",224,Frankenstein,,
Madeleine L'Engle,4,4.01," 18,720",196,A Wrinkle in Time ,Time Quintet,1
Ursula K. Le Guin,5,4.06," 17,920",184,The Left Hand of Darkness ,Hainish Cycle ,4
Veronica Roth,6,4.21," 13,326",138,Divergent ,Divergent,1
Suzanne Collins,7,4.29," 12,749",133,Catching Fire ,The Hunger Games,2
Lois Lowry,8,4.12," 12,399",129,The Giver ,The Giver,1
Octavia E. Butler,9,4.23," 11,070",116,Kindred,,
Ursula K. Le Guin,10,4.21," 10,731",112,The Dispossessed ,Hainish Cycle ,6
Margaret Atwood,11,4.01," 10,117",107,Oryx and Crake ,MaddAddam,1
Suzanne Collins,12,4.03," 9,807",104,Mockingjay ,The Hunger Games,3
Audrey Niffenegger,13,3.96," 9,193",98,The Time Traveler's Wife,,
Connie Willis,14,4.03," 8,935",96,Doomsday Book ,Oxford Time Travel,1
Ursula K. Le Guin,15,4.11," 7,775",84,The Lathe of Heaven,,
Ann Leckie,16,3.98," 7,336",81,Ancillary Justice ,Imperial Radch ,1
Lois McMaster Bujold,17,4.11," 7,017",75,Shards of Honour  ,Vorkosigan Saga,1
Connie Willis,18,4.13," 6,890",74,To Say Nothing of the Dog ,Oxford Time Travel,2
Mary Doria Russell,19,4.17," 6,873",72,The Sparrow ,The Sparrow,1
Anne McCaffrey,20,4.10," 6,802",74,Dragonflight ,Dragonriders of Pern,1
Octavia E. Butler,21,4.16," 6,653",71,Parable of the Sower ,Earthseed,1
Lois McMaster Bujold,22,4.29," 6,087",65,The Warrior's Apprentice ,Vorkosigan Saga,2
Lois McMaster Bujold,23,4.31," 5,623",60,Barrayar ,Vorkosigan Saga,7
Stephenie Meyer,24,3.84," 5,274",56,The Host ,The Host,1
Veronica Roth,25,4.05," 4,899",54,Insurgent ,Divergent,2
Lois McMaster Bujold,26,4.45," 4,682",51,Memory ,Vorkosigan Saga,1
P.D. James,27,3.68," 4,484",49,The Children of Men,,
G.S. Jennsen,28,3.91," 4,394",45,Starshine,Aurora Rhapsody,1
Margaret Atwood,29,4.06," 4,343",47,The Year of the Flood  ,MaddAddam,2
Anne McCaffrey,30,4.09," 4,235",47,Crystal Singer ,Crystal Singer,1
Lois McMaster Bujold,31,4.33," 4,120",47,Mirror Dance ,Vorkosigan Saga,8
Octavia E. Butler,32,4.33," 4,108",47,Lilith's Brood ,Xenogenesis,1
Lois McMaster Bujold,33,4.28," 3,895",46,The Vor Game ,Vorkosigan Saga,6
Octavia E. Butler,34,4.21," 3,842",43,Wild Seed ,Patternmaster,1
Madeleine L'Engle,35,4.04," 3,700",42,A Wind in the Door ,Time Quintet,2
Lois McMaster Bujold,36,4.43," 3,683",43,A Civil Campaign ,Vorkosigan Saga,1
Lois McMaster Bujold,37,4.21," 3,653",43,Brothers in Arms ,Vorkosigan Saga,5
Lois McMaster Bujold,38,4.17," 3,618",43,Cetaganda ,Vorkosigan Saga,9
Joan D. Vinge,39,3.95," 3,535",43,The Snow Queen ,The Snow Queen Cycle,1
Marissa Meyer,40,4.15," 3,440",38,Cinder ,The Lunar Chronicles,1
C.J. Cherryh,41,3.91," 3,381",40,Downbelow Station ,The Company Wars,1
Anne McCaffrey,42,4.01," 3,361",39,The Ship Who Sang ,Brainship,1
Deborah O'Neill Cordes,43,3.81," 3,340",34,Dragon Dawn ,Dinosaurian Time Travel,1
Anne McCaffrey,44,4.25," 3,092",36,Dragonsong ,Harper Hall,1
Lois McMaster Bujold,45,3.83," 3,054",37,Falling Free ,Vorkosigan Saga,4
Lois McMaster Bujold,46,3.76," 2,904",36,Ethan of Athos ,Vorkosigan Saga,3
Madeleine L'Engle,47,4.11," 2,831",32,A Swiftly Tilting Planet ,Time Quintet,3
Octavia E. Butler,48,4.12," 2,755",32,Dawn ,Xenogenesis,1
Lois McMaster Bujold,49,4.30," 2,579",31,Komarr ,Vorkosigan Saga,1
C.J. Cherryh,50,3.94," 2,547",30,Foreigner ,Foreigner,1
Kate Wilhelm,51,3.87," 2,535",30,Where Late the Sweet Birds Sang,,
Nancy Kress,52,3.94," 2,526",30,Beggars in Spain ,Sleepless,1
James Tiptree Jr.,53,4.21," 2,524",29,Her Smoke Rose Up Forever,,
Tanith Lee,54,4.03," 2,504",29,The Silver Metal Lover ,Silver Metal Lover,1
Lois McMaster Bujold,55,4.37," 2,498",31,Cordelia's Honor ,Vorkosigan Omnibus,1
C.J. Cherryh,56,3.92," 2,469",31,The Pride of Chanur ,Chanur ,1
Emily St. John Mandel,57,4.03," 2,450",28,Station Eleven,,
C.J. Cherryh,58,," 2,316",30,Cyteen ,Cyteen,1
Lois McMaster Bujold,59,4.24," 2,306",29,Borders of Infinity ,,5
Lucinda   Davis,60,4.76," 2,300",23,Goose Island,,
Sheri S. Tepper,61,4.04," 2,203",27,Grass ,Arbai,1
K.T. Hanna,62,4.18," 2,199",22,Chameleon ,The Domino Project,1
Sheri S. Tepper,63,4.05," 2,191",27,The Gate to Women's Country,,
Joanna Russ,64,3.54," 2,128",26,The Female Man,,
Kage Baker,65,3.77," 2,038",26,In the Garden of Iden ,The Company,1
Ceri London,66,4.44," 2,013",21,Rogue Genesis ,Shimmer in the Dark,1
Octavia E. Butler,67,4.24," 2,006",25,Parable of the Talents ,Earthseed,2
C.J. Cherryh,68,4.12," 1,931",23,The Faded Sun Trilogy ,The Faded Sun ,1
Lois McMaster Bujold,69,4.18," 1,914",26,Diplomatic Immunity ,Vorkosigan Saga,1
Naomi Novik,70,4.06," 1,849",22,His Majesty's Dragon ,Temeraire,1
Elizabeth Moon,71,," 1,819",24,The Speed of Dark,,
Marion Zimmer Bradley,72,3.88," 1,748",21,Darkover Landfall,,
Hayley Stone,73,3.79," 1,698",17,Machinations ,Machinations,1
G.S. Jennsen,74,4.22," 1,684",18,Vertigo ,Aurora Rhapsody,2
Lois McMaster Bujold,75,4.06," 1,683",24,CryoBurn ,Vorkosigan Saga,1
Octavia E. Butler,76,4.33," 1,659",20,Seed to Harvest ,Patternmaster,1
Ursula K. Le Guin,77,4.04," 1,572",19,The Wind's Twelve Quarters,,
Elizabeth Moon,78,4.06," 1,547",20,Remnant Population,,
Ursula K. Le Guin,79,3.95," 1,510",20,The Word for World is Forest,,
Ann Aguirre,80,3.73," 1,497",17,Grimspace ,Sirantha Jax,1
Nicola Griffith,81,3.86," 1,477",20,Ammonite,,
Beth Revis,82,3.77," 1,435",16,Across the Universe ,Across the Universe,1
C.J. Cherryh,83,4.19," 1,392",18,Inheritor ,Foreigner,3
Mya Robarts,84,4.02," 1,380",15,The V Girl,,
Lauren Oliver,85,3.98," 1,366",15,Delirium ,Delirium,1
Vonda N. McIntyre,86,3.86," 1,324",18,Dreamsnake,,
Pamela Sargent,87,," 1,297",16,Women of Wonder,,
Martha Wells,88,4.15," 1,296",14,All Systems Red ,The Murderbot Diaries,1
Elizabeth Moon,89,3.98," 1,286",16,Trading in Danger ,Vatta's War,1
C.J. Cherryh,90,4.17," 1,276",17,Invader ,Foreigner,2
Marge Piercy,90,3.95," 1,276",15,Woman on the Edge of Time,,
Maureen F. McHugh,92,3.94," 1,253",18,China Mountain Zhang,,
S.L. Viehl,93,3.80," 1,230",16,Stardoc ,Stardoc,1
Margaret Atwood,94,," 1,212",13,MaddAddam ,MaddAddam,3
